[train: 1, 2950 / 3750] FPS: 21.8 (23.1)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.47206  ,  Loss/giou: 0.35237  ,  Loss/l1: 0.03789  ,  Loss/location: 0.57786  ,  IoU: 0.68959
[train: 1, 3000 / 3750] FPS: 21.8 (17.9)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.46986  ,  Loss/giou: 0.35190  ,  Loss/l1: 0.03785  ,  Loss/location: 0.57681  ,  IoU: 0.69001
[train: 1, 3050 / 3750] FPS: 21.8 (23.2)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.46997  ,  Loss/giou: 0.35204  ,  Loss/l1: 0.03788  ,  Loss/location: 0.57651  ,  IoU: 0.68995
[train: 1, 3100 / 3750] FPS: 21.8 (23.8)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.46775  ,  Loss/giou: 0.35158  ,  Loss/l1: 0.03782  ,  Loss/location: 0.57551  ,  IoU: 0.69030
[train: 1, 3150 / 3750] FPS: 21.8 (23.6)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.46421  ,  Loss/giou: 0.35095  ,  Loss/l1: 0.03771  ,  Loss/location: 0.57377  ,  IoU: 0.69080
[train: 1, 3200 / 3750] FPS: 21.8 (24.1)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.46288  ,  Loss/giou: 0.35064  ,  Loss/l1: 0.03765  ,  Loss/location: 0.57338  ,  IoU: 0.69099
[train: 1, 3250 / 3750] FPS: 21.8 (23.9)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.45972  ,  Loss/giou: 0.34998  ,  Loss/l1: 0.03755  ,  Loss/location: 0.57200  ,  IoU: 0.69150
[train: 1, 3300 / 3750] FPS: 21.8 (21.9)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.45701  ,  Loss/giou: 0.34942  ,  Loss/l1: 0.03745  ,  Loss/location: 0.57092  ,  IoU: 0.69191
[train: 1, 3350 / 3750] FPS: 21.8 (20.9)  ,  DataTime: 0.590 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.45596  ,  Loss/giou: 0.34926  ,  Loss/l1: 0.03743  ,  Loss/location: 0.57031  ,  IoU: 0.69209
[train: 1, 3400 / 3750] FPS: 21.8 (21.1)  ,  DataTime: 0.590 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.45483  ,  Loss/giou: 0.34896  ,  Loss/l1: 0.03738  ,  Loss/location: 0.57001  ,  IoU: 0.69229
[train: 1, 3450 / 3750] FPS: 21.8 (24.1)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.45277  ,  Loss/giou: 0.34855  ,  Loss/l1: 0.03730  ,  Loss/location: 0.56917  ,  IoU: 0.69258
[train: 1, 3500 / 3750] FPS: 21.8 (19.9)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.45083  ,  Loss/giou: 0.34819  ,  Loss/l1: 0.03723  ,  Loss/location: 0.56833  ,  IoU: 0.69282
[train: 1, 3550 / 3750] FPS: 21.8 (23.8)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.44871  ,  Loss/giou: 0.34769  ,  Loss/l1: 0.03716  ,  Loss/location: 0.56754  ,  IoU: 0.69320
[train: 1, 3600 / 3750] FPS: 21.8 (26.4)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.44639  ,  Loss/giou: 0.34723  ,  Loss/l1: 0.03707  ,  Loss/location: 0.56657  ,  IoU: 0.69352
[train: 1, 3650 / 3750] FPS: 21.8 (21.3)  ,  DataTime: 0.590 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.732  ,  Loss/total: 1.44473  ,  Loss/giou: 0.34692  ,  Loss/l1: 0.03702  ,  Loss/location: 0.56581  ,  IoU: 0.69374
[train: 1, 3700 / 3750] FPS: 21.8 (21.6)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.44364  ,  Loss/giou: 0.34668  ,  Loss/l1: 0.03697  ,  Loss/location: 0.56541  ,  IoU: 0.69394
[train: 1, 3750 / 3750] FPS: 21.8 (24.6)  ,  DataTime: 0.590 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.732  ,  Loss/total: 1.44233  ,  Loss/giou: 0.34641  ,  Loss/l1: 0.03693  ,  Loss/location: 0.56486  ,  IoU: 0.69413
[train: 2, 50 / 3750] FPS: 21.2 (22.7)  ,  DataTime: 0.610 (0.013)  ,  ForwardTime: 0.132  ,  TotalTime: 0.754  ,  Loss/total: 1.35888  ,  Loss/giou: 0.33021  ,  Loss/l1: 0.03520  ,  Loss/location: 0.52247  ,  IoU: 0.70813
[train: 2, 100 / 3750] FPS: 21.5 (22.2)  ,  DataTime: 0.600 (0.013)  ,  ForwardTime: 0.131  ,  TotalTime: 0.744  ,  Loss/total: 1.33023  ,  Loss/giou: 0.32221  ,  Loss/l1: 0.03331  ,  Loss/location: 0.51927  ,  IoU: 0.71360
[train: 2, 150 / 3750] FPS: 21.6 (26.1)  ,  DataTime: 0.598 (0.012)  ,  ForwardTime: 0.131  ,  TotalTime: 0.741  ,  Loss/total: 1.33516  ,  Loss/giou: 0.32477  ,  Loss/l1: 0.03374  ,  Loss/location: 0.51693  ,  IoU: 0.71112
[train: 2, 200 / 3750] FPS: 21.6 (23.4)  ,  DataTime: 0.597 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.739  ,  Loss/total: 1.31314  ,  Loss/giou: 0.31939  ,  Loss/l1: 0.03266  ,  Loss/location: 0.51107  ,  IoU: 0.71429
[train: 2, 250 / 3750] FPS: 21.6 (20.2)  ,  DataTime: 0.598 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.740  ,  Loss/total: 1.31010  ,  Loss/giou: 0.31902  ,  Loss/l1: 0.03269  ,  Loss/location: 0.50861  ,  IoU: 0.71472
[train: 2, 300 / 3750] FPS: 21.6 (23.0)  ,  DataTime: 0.598 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.740  ,  Loss/total: 1.30563  ,  Loss/giou: 0.31830  ,  Loss/l1: 0.03261  ,  Loss/location: 0.50600  ,  IoU: 0.71552
[train: 2, 350 / 3750] FPS: 21.6 (20.5)  ,  DataTime: 0.597 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.740  ,  Loss/total: 1.31401  ,  Loss/giou: 0.32033  ,  Loss/l1: 0.03293  ,  Loss/location: 0.50871  ,  IoU: 0.71421
[train: 2, 400 / 3750] FPS: 21.6 (20.2)  ,  DataTime: 0.598 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.741  ,  Loss/total: 1.31670  ,  Loss/giou: 0.32074  ,  Loss/l1: 0.03304  ,  Loss/location: 0.51002  ,  IoU: 0.71392
[train: 2, 450 / 3750] FPS: 21.6 (19.2)  ,  DataTime: 0.598 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.741  ,  Loss/total: 1.30757  ,  Loss/giou: 0.31907  ,  Loss/l1: 0.03276  ,  Loss/location: 0.50564  ,  IoU: 0.71521
[train: 2, 500 / 3750] FPS: 21.6 (23.0)  ,  DataTime: 0.598 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.741  ,  Loss/total: 1.30750  ,  Loss/giou: 0.31927  ,  Loss/l1: 0.03277  ,  Loss/location: 0.50510  ,  IoU: 0.71527
[train: 2, 550 / 3750] FPS: 21.6 (20.9)  ,  DataTime: 0.598 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.741  ,  Loss/total: 1.30239  ,  Loss/giou: 0.31856  ,  Loss/l1: 0.03262  ,  Loss/location: 0.50217  ,  IoU: 0.71593
[train: 2, 600 / 3750] FPS: 21.6 (19.4)  ,  DataTime: 0.599 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.742  ,  Loss/total: 1.30179  ,  Loss/giou: 0.31837  ,  Loss/l1: 0.03259  ,  Loss/location: 0.50210  ,  IoU: 0.71616
[train: 2, 650 / 3750] FPS: 21.6 (22.0)  ,  DataTime: 0.598 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.741  ,  Loss/total: 1.30667  ,  Loss/giou: 0.31972  ,  Loss/l1: 0.03273  ,  Loss/location: 0.50360  ,  IoU: 0.71502
